,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,Num Features,Score
122,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,28,0.852930423989426
116,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.852801371173949
65,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,26,0.8527845919504615
56,Y,-,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,-,Y,24,0.8527471755916063
73,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,29,0.8526690414361816
135,-,Y,-,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,23,0.8525895221593913
107,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,29,0.8525297267953831
33,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,26,0.8525152017463518
191,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,27,0.8525065197495614
124,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,27,0.852481642957857
127,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.8524194297625123
171,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.8521806737050784
121,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,29,0.8519226306289749
61,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.8516769838184484
119,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,27,0.8514740334218776
49,Y,-,Y,-,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,-,Y,Y,Y,23,0.8513017457518222
47,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,25,0.851206181942633
149,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,27,0.8512001292515062
43,Y,-,-,Y,Y,Y,-,-,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,23,0.850975383705372
132,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.8507338348159965
118,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.8502734846135673
137,Y,-,Y,Y,Y,Y,Y,-,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,24,0.8498285669788465
35,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,24,0.8496932050974874
46,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,27,0.8493344414821032
42,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,27,0.8487661269979239
37,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,25,0.8486087264131555
39,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,26,0.8485680713903438
38,Y,-,-,-,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,-,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,21,0.8483439084013137
36,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,-,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,25,0.847190761752211
32,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,25,0.8469066613109988
29,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,-,Y,Y,-,Y,Y,Y,24,0.846350345661483
153,-,Y,Y,-,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,25,0.8458574552915803
30,Y,-,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,-,Y,23,0.8451586375623698
45,-,-,-,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,-,Y,Y,21,0.8442242592736655
34,Y,-,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,25,0.8399917999617325
4,Y,-,Y,Y,Y,Y,Y,Y,-,Y,-,Y,-,Y,Y,-,-,-,Y,-,Y,Y,-,-,Y,Y,Y,-,-,-,17,0.829313803187816
13,Y,-,-,-,Y,Y,Y,Y,Y,-,Y,Y,Y,-,-,-,Y,-,Y,Y,-,Y,-,Y,-,Y,-,-,-,Y,16,0.822214837040926
7,-,-,Y,-,-,Y,Y,-,Y,Y,-,-,Y,-,Y,Y,Y,-,Y,-,-,-,Y,Y,Y,Y,-,-,Y,-,15,0.8075709761208746
18,Y,-,Y,-,Y,Y,-,Y,-,Y,Y,-,Y,-,-,-,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,20,0.8045258155458727
9,-,Y,-,-,Y,-,Y,-,-,Y,Y,Y,-,Y,-,-,Y,Y,-,Y,-,Y,Y,Y,Y,Y,-,-,Y,Y,17,0.7973557955938005
20,-,-,-,Y,-,-,Y,-,Y,-,-,-,-,Y,Y,Y,-,Y,Y,-,Y,-,Y,-,Y,Y,-,-,-,Y,13,0.7679910214737847
10,-,Y,-,-,Y,Y,-,-,-,Y,Y,-,-,Y,-,Y,Y,-,-,Y,-,Y,-,Y,-,-,Y,-,-,Y,13,0.7623665550449712
12,Y,-,Y,-,Y,Y,-,-,Y,Y,Y,Y,-,-,-,Y,Y,Y,-,Y,-,-,-,Y,Y,Y,Y,-,-,-,16,0.7469877762092672
15,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,-,-,Y,-,-,-,-,-,Y,Y,Y,-,Y,Y,-,Y,Y,-,-,18,0.732587991483425
0,-,Y,-,-,-,-,-,Y,Y,Y,-,-,-,Y,-,-,-,Y,Y,-,-,-,-,Y,-,Y,Y,Y,Y,-,12,0.70973156190052
23,Y,-,-,Y,-,-,Y,-,-,-,-,Y,Y,-,Y,Y,-,Y,Y,-,Y,-,Y,-,Y,-,-,Y,Y,Y,15,0.6991125201746922
3,-,Y,Y,-,Y,-,Y,Y,-,Y,Y,Y,Y,-,-,-,-,Y,Y,-,-,-,Y,-,-,Y,Y,-,-,-,14,0.690620051825392
1,Y,-,Y,Y,Y,-,Y,-,Y,-,-,Y,Y,Y,-,-,-,Y,Y,-,-,Y,-,-,-,-,Y,Y,Y,-,15,0.6890017243978162
19,-,Y,Y,-,Y,Y,-,Y,-,-,-,Y,Y,Y,Y,-,Y,-,-,Y,-,-,Y,Y,-,Y,Y,Y,Y,-,17,0.6672116783505618
2,-,-,-,-,-,Y,-,-,-,-,Y,-,-,-,Y,Y,Y,-,-,Y,Y,-,Y,-,Y,-,-,-,-,Y,10,0.6578267004114342
6,-,Y,-,-,-,-,-,Y,-,-,-,-,-,-,Y,-,Y,-,Y,Y,-,-,Y,-,Y,-,Y,Y,Y,Y,12,0.6290307676755332
11,Y,-,Y,Y,-,Y,-,Y,Y,-,-,Y,Y,-,Y,Y,-,Y,-,-,Y,-,-,-,-,-,-,Y,-,-,13,0.5951759669701333
22,-,-,-,-,Y,-,Y,-,Y,Y,Y,-,-,-,-,-,Y,-,-,-,-,-,-,Y,-,-,Y,-,-,-,8,0.5879803188118558
21,-,Y,-,-,Y,-,-,Y,Y,-,-,-,-,Y,-,-,Y,-,-,-,-,Y,-,Y,-,Y,Y,-,-,-,10,0.5731174734105497
16,Y,Y,Y,-,Y,-,Y,-,Y,-,Y,Y,Y,-,Y,Y,-,Y,-,-,-,Y,Y,Y,-,-,Y,-,Y,-,17,0.5579072062831251
24,-,Y,Y,-,Y,Y,-,-,-,-,-,Y,Y,-,-,Y,-,Y,-,-,Y,Y,Y,Y,Y,-,Y,-,Y,-,15,0.5490046199652491
14,-,Y,-,Y,-,-,-,-,-,-,-,-,Y,Y,Y,-,-,-,-,-,Y,-,Y,-,-,-,-,Y,Y,-,9,0.5087648116761423
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,Y,-,-,Y,-,-,-,Y,-,-,-,-,-,Y,5,0.4788801007520368
8,Y,-,-,Y,-,-,-,-,-,-,Y,-,-,-,-,-,-,-,-,-,Y,Y,-,-,-,-,-,-,-,-,5,0.45323734579288644
17,-,-,-,Y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Y,-,-,-,-,-,-,Y,-,Y,4,0.4237481681505845
