,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Num Features,Score
181,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,28,0.8420044427343629
119,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,-,-,Y,-,Y,23,0.8419932519410941
96,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,28,0.841958192824016
74,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,29,0.8419281549570057
136,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,28,0.841874349717164
189,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,26,0.8418488373763812
199,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,-,Y,24,0.84176834853899
144,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,28,0.8417423844931842
179,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,28,0.8417409582141399
43,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,26,0.841698717052394
147,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,-,Y,26,0.8416519347806897
73,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,26,0.8416152641684016
78,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.8415639632685445
114,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,28,0.8415456513447439
137,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,27,0.8415447300717642
127,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,25,0.8414139679498609
