,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,Num Features,Score
75,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,25,0.6554396157684271
166,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,28,0.6553979548543746
173,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,27,0.6552017148197962
198,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,26,0.6550218209899288
146,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6549362084258744
135,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,26,0.6547987404742226
174,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,Y,-,-,Y,-,Y,22,0.6542909818300223
190,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,-,Y,Y,Y,-,Y,-,Y,Y,Y,-,Y,Y,23,0.654087519278031
94,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,27,0.6540425341155858
34,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,27,0.6539925751898822
210,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,-,-,Y,Y,-,Y,-,22,0.6538362439687535
51,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,27,0.6537204142867937
119,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,27,0.6537167098903373
182,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,Y,25,0.6536181967440391
60,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,28,0.6534757325067103
205,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,25,0.6533983630744626
84,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,27,0.6533964854308112
227,-,Y,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,-,-,Y,Y,Y,Y,23,0.6532660673778059
66,Y,Y,Y,Y,-,Y,Y,-,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26,0.6532622474399468
178,-,Y,-,Y,Y,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,-,Y,Y,Y,Y,23,0.6531692082940068
138,Y,Y,-,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26,0.6529221205934131
191,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,-,-,Y,-,Y,Y,Y,-,Y,Y,23,0.6527036253740914
133,Y,Y,-,Y,-,Y,Y,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26,0.6526397533312022
213,Y,Y,-,Y,Y,Y,Y,-,-,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,26,0.6526085872059851
123,Y,Y,Y,Y,Y,Y,-,-,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,-,Y,Y,Y,-,Y,-,-,-,21,0.6525385429456843
212,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,-,Y,-,Y,-,-,-,Y,Y,23,0.652532298293315
218,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,Y,-,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,26,0.6525136117744484
141,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6522763773477619
115,Y,Y,Y,Y,Y,Y,-,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,28,0.6521958110832791
90,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,-,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-,Y,-,Y,26,0.6521244263508224
